City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ahipara,-35.1667,173.1667,21.04,65,29,1.53,NZ,1676778950
1,ust-maya,60.4167,134.5333,-22.77,94,100,0.39,RU,1676778950
2,albany,42.6001,-73.9662,0.4,62,50,1.01,US,1676778696
3,mataura,-46.1927,168.8643,15.27,96,98,1.94,NZ,1676778952
4,bluff,-46.6,168.3333,15.45,71,80,5.96,NZ,1676778952
5,vestmannaeyjar,63.4427,-20.2734,4.64,77,100,5.13,IS,1676778952
6,fort nelson,58.8053,-122.7002,-15.23,88,75,3.09,CA,1676778953
7,port elizabeth,-33.918,25.5701,19.16,88,100,3.09,ZA,1676778953
8,pangnirtung,66.1451,-65.7125,-39.54,99,98,1.18,CA,1676778953
9,torbay,47.6666,-52.7314,-9.23,89,20,2.57,CA,1676778953
10,sisimiut,66.9395,-53.6735,-14.56,96,100,4.4,GL,1676778841
11,zacualpan,21.25,-105.1667,21.56,76,0,1.13,MX,1676778953
12,severo-kurilsk,50.6789,156.125,-6.08,75,98,4.1,RU,1676778953
13,lodja,-3.4833,23.4333,22.5,81,100,0.57,CD,1676778954
14,tasiilaq,65.6145,-37.6368,-6.48,88,99,16.66,GL,1676778954
15,breytovo,58.2993,37.8617,-10.84,94,100,5.83,RU,1676778954
16,busselton,-33.65,115.3333,29.34,36,13,2.78,AU,1676778955
17,sao goncalo do sapucai,-21.8922,-45.5953,18.25,96,100,1.39,BR,1676778955
18,rikitea,-23.1203,-134.9692,26.63,77,93,7.87,PF,1676778956
19,harper,4.375,-7.7169,25.81,88,8,1.8,LR,1676778956
20,neuquen,-38.9516,-68.0591,20.37,10,82,1.81,AR,1676778956
21,strezhevoy,60.7333,77.5889,-11.59,94,100,1.76,RU,1676778956
22,puerto narino,-3.7703,-70.3831,22.84,97,100,1.01,CO,1676778956
23,kapaa,22.0752,-159.319,25.62,84,97,0.89,US,1676778957
24,new norfolk,-42.7826,147.0587,29.28,21,99,3.13,AU,1676778957
25,victoria,22.2855,114.1577,26.81,69,76,1.34,HK,1676778957
26,touros,-5.1989,-35.4608,25.67,81,78,3.41,BR,1676778957
27,ponta do sol,32.6667,-17.1,17.29,61,18,1.67,PT,1676778957
28,vaini,-21.2,-175.2,29.09,84,40,2.57,TO,1676778957
29,ushuaia,-54.8,-68.3,7.81,76,75,8.23,AR,1676778958
30,bathsheba,13.2167,-59.5167,24.34,83,75,6.17,BB,1676778958
31,sept-iles,50.2001,-66.3821,-12.0,75,75,2.06,CA,1676778958
32,half moon bay,37.4636,-122.4286,13.32,60,75,3.09,US,1676778958
33,bredasdorp,-34.5322,20.0403,17.19,84,65,0.65,ZA,1676778958
34,mikhaylovka,50.06,43.2379,-5.12,97,100,1.48,RU,1676778958
35,punta arenas,-53.15,-70.9167,8.06,76,75,5.14,CL,1676778958
36,butaritari,3.0707,172.7902,26.72,79,18,3.13,KI,1676778959
37,cayenne,4.9333,-52.3333,25.02,83,75,2.57,GF,1676778959
38,sibolga,1.7427,98.7792,29.84,66,18,1.59,ID,1676778959
39,hasaki,35.7333,140.8333,18.22,73,100,12.8,JP,1676778959
40,dikson,73.5069,80.5464,-16.18,98,100,8.5,RU,1676778959
41,pevek,69.7008,170.3133,-33.67,92,100,1.07,RU,1676778959
42,korla,41.7597,86.1469,-0.02,72,100,1.08,CN,1676778960
43,monticello,45.3055,-93.7941,0.08,90,75,2.57,US,1676778834
44,mecca,21.4267,39.8261,21.37,61,11,0.52,SA,1676778728
45,yellowknife,62.456,-114.3525,-33.58,75,0,3.09,CA,1676778960
46,alofi,-19.0595,-169.9187,29.94,66,68,4.12,NU,1676778960
47,atuona,-9.8,-139.0333,26.3,75,58,8.05,PF,1676778961
48,hithadhoo,-0.6,73.0833,27.28,75,99,2.58,MV,1676778715
49,kimbe,-5.5502,150.1429,29.65,72,70,1.58,PG,1676778961
50,kalmunai,7.4167,81.8167,27.19,77,58,5.1,LK,1676778961
51,port alfred,-33.5906,26.891,19.54,97,83,0.15,ZA,1676778962
52,hermanus,-34.4187,19.2345,16.56,84,56,2.74,ZA,1676778962
53,vao,-22.6667,167.4833,24.8,67,48,6.74,NC,1676778962
54,umm lajj,25.0213,37.2685,22.3,40,100,2.25,SA,1676778962
55,east london,-33.0153,27.9116,19.52,100,0,1.54,ZA,1676778891
56,juegang,32.3174,121.1855,9.43,64,50,7.73,CN,1676778962
57,rosarito,32.3333,-117.0333,13.15,52,19,1.09,MX,1676778963
58,nikolskoye,59.7035,30.7861,-5.05,92,100,5.08,RU,1676778963
59,muriwai beach,-36.8167,174.45,24.12,65,24,2.21,NZ,1676778963
60,cairns,-16.9167,145.7667,30.04,85,75,5.14,AU,1676778963
61,vila velha,-20.3297,-40.2925,24.97,93,40,1.54,BR,1676778963
62,mango,27.9797,-82.3065,18.33,75,0,2.57,US,1676778963
63,jalu,29.0331,21.5482,10.55,59,0,3.81,LY,1676778964
64,castro,-24.7911,-50.0119,12.67,97,100,4.0,BR,1676778964
65,marathon,44.9,-89.7668,-0.42,85,0,3.6,US,1676778964
66,beira,-19.8436,34.8389,25.05,100,40,2.68,MZ,1676778964
67,chuy,-33.6971,-53.4616,12.61,59,3,2.03,UY,1676778964
68,kununurra,-15.7667,128.7333,33.99,62,40,5.14,AU,1676778964
69,esperance,-33.8667,121.9,26.58,60,1,6.89,AU,1676778679
70,astana,51.1801,71.446,-21.03,77,75,1.0,KZ,1676778965
71,presidencia roque saenz pena,-26.7852,-60.4388,16.91,36,67,2.08,AR,1676778965
72,tuktoyaktuk,69.4541,-133.0374,-31.0,76,20,4.63,CA,1676778965
73,barrow,71.2906,-156.7887,-26.03,100,96,1.17,US,1676778965
